__time,/unconstrained_mpc/mpc_data/ctrl_input/force/x,/unconstrained_mpc/mpc_data/ctrl_input/force/y,/unconstrained_mpc/mpc_data/ctrl_input/force/z,/unconstrained_mpc/mpc_data/ctrl_input/torque/x,/unconstrained_mpc/mpc_data/ctrl_input/torque/y,/unconstrained_mpc/mpc_data/ctrl_input/torque/z,/unconstrained_mpc/mpc_data/delay/data,/unconstrained_mpc/mpc_data/desired_robot_vel/angular/x,/unconstrained_mpc/mpc_data/desired_robot_vel/angular/y,/unconstrained_mpc/mpc_data/desired_robot_vel/angular/z,/unconstrained_mpc/mpc_data/desired_robot_vel/linear/x,/unconstrained_mpc/mpc_data/desired_robot_vel/linear/y,/unconstrained_mpc/mpc_data/desired_robot_vel/linear/z,/unconstrained_mpc/mpc_data/header/stamp/nanosec,/unconstrained_mpc/mpc_data/header/stamp/sec,/unconstrained_mpc/mpc_data/robot_vel/angular/x,/unconstrained_mpc/mpc_data/robot_vel/angular/y,/unconstrained_mpc/mpc_data/robot_vel/angular/z,/unconstrained_mpc/mpc_data/robot_vel/linear/x,/unconstrained_mpc/mpc_data/robot_vel/linear/y,/unconstrained_mpc/mpc_data/robot_vel/linear/z
1731295308.636420,-0.001283005,-0.001390761,-4.281768262,0.000000000,0.000000000,-0.000015028,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000001150,-0.000008172,-0.000055172,0.150000005
1731295308.647157,-0.001200405,-0.000959971,-4.281768312,0.000000000,0.000000000,-0.000012116,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000001163,-0.000008559,-0.000056549,0.150000005
1731295308.657297,-0.001116610,-0.000528391,-4.281768361,0.000000000,0.000000000,-0.000009191,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000001176,-0.000008938,-0.000057865,0.150000005
1731295308.667571,-0.001031370,-0.000096077,-4.281768410,0.000000000,0.000000000,-0.000006262,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000001186,-0.000009310,-0.000059120,0.150000006
1731295308.678267,-0.000944747,0.000336531,-4.281768458,0.000000000,0.000000000,-0.000003321,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000001195,-0.000009675,-0.000060316,0.150000006
1731295308.688359,-0.000856892,0.000768878,-4.281768505,0.000000000,0.000000000,-0.000000370,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000001203,-0.000010033,-0.000061448,0.150000006
1731295308.698952,-0.000767919,0.001200454,-4.281768550,0.000000000,0.000000000,0.000002588,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000001211,-0.000010382,-0.000062515,0.150000006
1731295308.709080,-0.000677908,0.001630762,-4.281768595,0.000000000,0.000000000,0.000005547,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000001217,-0.000010722,-0.000063516,0.150000007
1731295308.720132,-0.000586931,0.002059311,-4.281768638,0.000000000,0.000000000,0.000008504,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000001221,-0.000011053,-0.000064449,0.150000007
1731295308.730284,-0.000495099,0.002485671,-4.281768679,0.000000000,0.000000000,0.000011455,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000001225,-0.000011374,-0.000065314,0.150000007
